relevant_date,instance_type,stack_type,env,cost,hours,DefaultVCpus,core_seconds_used,cost_per_core_hour
2023-06-11,m5ad.8xlarge,io,prod,176.1214024628,145.264999,32,16734527.884800000,0.03788795556293980
2023-06-11,m5d.8xlarge,io,prod,4001.9312726764,3692.484448,32,425374208.4096,0.03386889072447560
2023-06-11,m5dn.8xlarge,io,prod,15.031429192800000,12.341387000000000,32,1421727.7824000000,0.038061537351920000
2023-06-11,m6id.8xlarge,io,prod,97.6382002574,80.25223100000000,32,9245057.011200000,0.03802004903818500
2023-06-11,m6idn.8xlarge,io,prod,48.08627173,39.615837,32,4563744.4224,0.037931698667946900
2023-06-11,r5.2xlarge,cmp,prod,1816.3689640577,9972.453275,8,287206654.32,0.022767328584671900
2023-06-11,r5ad.4xlarge,io,prod,1611.2783176216,2801.488124,16,161365715.9424,0.03594692905839000
2023-06-11,r5b.2xlarge,cmp,prod,47.6318052328,158.497498,8,4564727.9424,0.03756510815142330
2023-06-11,r5d.4xlarge,io,prod,2757.4450183697,4820.560405,16,277664279.328,0.035751095136024200
2023-06-11,r5dn.4xlarge,io,prod,1007.4834454773000,1722.08227,16,99191938.752,0.036564870586775900
